AGSB_CODINST;AGSB_NOMBREINSTITUCION;CODIGOMUNICIPIO;NOMBREMUNICIPIO;DEPARTAMENTO;CALENDARIO;NATURALEZA;JORNADA;EVALUADOS;PROMMATEMATICA;PROMINGLES;PROMLECTURACRITICA;PROMSOCIALESYCIUDADANAS;PROMCIENCIASNATURALES;PROMRAZONAMIENTOCUANTITA;PROMCOMPETENCIASCIUDADAN;DESVMATEMATICA;DESVINGLES;DESVLECTURACRITICA;DESVSOCIALESYCIUDADANAS;DESVCIENCIASNATURALES;DESVRAZONAMIENTOCUANTITA;DESVCOMPETENCIASCIUDADA;PERIODO
007393;I.E. BACHILLERATO PATIA;00389;PATIA(EL BORDO);CAUCA;A;OFICIAL;TARDE;33;46,03;48,94;46,7;46,48;45,73;46,88;46,36;7,44;5,91;6,84;7,35;6,46;7,12;7,58;20142
058347;INST TEC BUENA ESPERANZA;00784;CUCUTA;NORTE SANTANDER;A;OFICIAL;MAÑANA;14;45,07;46,43;43,21;42,36;44,36;46,29;43,14;7,15;4,57;8,57;7,71;8,93;8,76;7,9;20142
147785;SAN AGUSTIN;01077;VILLANUEVA;CASANARE;A;OFICIAL;MAÑANA;9;44,44;43,11;43,89;43,89;46,11;43,78;42,56;9,17;3,41;7,56;5,18;7,9;10,41;6,23;20142
006114;INSTITUCIÓN EDUCATIVA TECNICO SUPERIOR DE CALDAS "ITEC";00322;MANIZALES;CALDAS;A;OFICIAL;MAÑANA;153;57,2;54,25;55,8;55,71;57,25;56,39;56,3;9,53;10,12;7,82;8,63;9,5;9,5;8,92;20142
065540;INSTITUCION EDUCATIVA DE SANTA ROSA;00182;SAN FERNANDO;BOLIVAR;A;OFICIAL;MAÑANA;35;45,2;45,51;42,14;42;40,97;45,17;42;7,23;4,14;6,46;7,86;7,46;7,42;7,78;20142
124867;COLEGIO COMFANDI TULUA;01045;TULUA;VALLE;A;NO OFICIAL;MAÑANA;62;57,71;55,66;58,4;58,69;57,71;58,03;58,74;9,36;11,02;8,18;8,55;9,37;9,85;7,89;20142
089789;INST EDUC CARACAS;00001;MEDELLIN;ANTIOQUIA;A;OFICIAL;TARDE;52;49,19;48,75;50,33;49,38;48,62;48,33;49,67;8,06;6,78;10,81;8,72;8,61;7,98;8,12;20142
090050;COLEGIO CAMPESTRE HORIZONTES;00085;RIONEGRO;ANTIOQUIA;A;NO OFICIAL;COMPLETA U ORDINARIA;37;67,16;78,11;63,03;63,05;64,92;63,3;62,41;12,2;13,97;9,44;9,45;12,06;12,85;9,75;20142
096073;I. E. LOS ANGELES;00008;ANGELOPOLIS;ANTIOQUIA;A;OFICIAL;TARDE;12;47,83;48,42;45,92;46,58;46;49;46,08;9,93;3,37;5,45;8,18;5,69;8,12;8,21;20142
157784;LIC PSICOPEDAGOGICO SIBATE;00545;SIBATE;CUNDINAMARCA;A;NO OFICIAL;MAÑANA;18;52,5;54,33;55,78;54,67;52,5;52,94;54,67;10,92;8,17;10,71;10,2;8,4;9,57;11,21;20142
136457;COLEGIO DEPARTAMENTAL ROBERTO RUIZ MONSALVE;00779;TAMINANGO;NARIÑO;A;OFICIAL;NOCHE;16;41,38;43,38;39,06;42,31;40,31;41,94;43,06;10,39;4,65;9,49;10,23;8,27;12,18;10,19;20142
